epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,106.321,0.37908,0.80949,0.81594,0.9966,0.90909,0.9875,0.90725,0.45944,1.78402,0.87247,0.000444448,0.000444448,0.000444448
70,108.265,0.42257,1.09478,0.86382,0.9966,0.90909,0.9875,0.90725,0.45944,1.78402,0.87247,0.000437322,0.000437322,0.000437322
71,110.443,0.39743,0.85653,0.89347,0.9966,0.90909,0.9875,0.90725,0.45944,1.78402,0.87247,0.0004298,0.0004298,0.0004298
72,111.994,0.35252,0.78643,0.89479,1,0.98327,0.995,0.91005,0.49139,1.88468,0.88382,0.000421882,0.000421882,0.000421882
73,113.409,0.42196,0.85639,0.90061,1,0.98327,0.995,0.91005,0.49139,1.88468,0.88382,0.000413568,0.000413568,0.000413568
74,114.978,0.40831,0.91856,0.86299,1,0.98327,0.995,0.91005,0.49139,1.88468,0.88382,0.000404858,0.000404858,0.000404858
75,116.437,0.44475,1.06914,0.83709,1,0.92837,0.995,0.936,0.4481,1.98267,0.87518,0.000395752,0.000395752,0.000395752
76,118.439,0.44822,0.98323,0.84556,1,0.92837,0.995,0.936,0.4481,1.98267,0.87518,0.00038625,0.00038625,0.00038625
77,119.91,0.39861,0.83521,0.88395,1,0.92837,0.995,0.936,0.4481,1.98267,0.87518,0.000376352,0.000376352,0.000376352
78,121.37,0.52486,0.91267,0.93332,1,0.93367,0.995,0.92613,0.42945,2.00106,0.86197,0.000366058,0.000366058,0.000366058
79,122.802,0.3845,0.90937,0.88913,1,0.93367,0.995,0.92613,0.42945,2.00106,0.86197,0.000355368,0.000355368,0.000355368
80,124.212,0.41189,0.81096,0.85291,1,0.93367,0.995,0.92613,0.42945,2.00106,0.86197,0.000344282,0.000344282,0.000344282
81,125.625,0.40425,0.84286,0.90969,1,0.94054,0.995,0.927,0.42716,1.94823,0.85157,0.0003328,0.0003328,0.0003328
82,127.029,0.52336,0.901,0.90349,1,0.94054,0.995,0.927,0.42716,1.94823,0.85157,0.000320922,0.000320922,0.000320922
83,128.413,0.48764,1.0659,0.91818,1,0.94054,0.995,0.927,0.42716,1.94823,0.85157,0.000308648,0.000308648,0.000308648
84,129.808,0.5254,0.96717,0.88437,0.98019,1,0.995,0.90836,0.41708,1.73876,0.8264,0.000295978,0.000295978,0.000295978
85,131.216,0.41258,0.76129,0.87659,0.98019,1,0.995,0.90836,0.41708,1.73876,0.8264,0.000282912,0.000282912,0.000282912
86,132.661,0.44359,1.01552,0.91008,0.98019,1,0.995,0.90836,0.41708,1.73876,0.8264,0.00026945,0.00026945,0.00026945
87,134.121,0.43635,0.92071,0.84971,0.98019,1,0.995,0.90836,0.41708,1.73876,0.8264,0.000255592,0.000255592,0.000255592
88,135.56,0.45963,0.84915,0.9143,1,0.99849,0.995,0.9302,0.40424,1.59556,0.82493,0.000241338,0.000241338,0.000241338
89,136.923,0.47092,0.88497,0.90885,1,0.99849,0.995,0.9302,0.40424,1.59556,0.82493,0.000226688,0.000226688,0.000226688
90,138.739,0.38999,0.79045,0.85809,1,0.99849,0.995,0.9302,0.40424,1.59556,0.82493,0.000211642,0.000211642,0.000211642
91,140.104,0.33101,1.12486,0.93533,1,0.99849,0.995,0.9302,0.40424,1.59556,0.82493,0.0001962,0.0001962,0.0001962
92,141.467,0.30628,1.03433,0.80538,1,0.99051,0.995,0.91514,0.38869,1.53349,0.82386,0.000180362,0.000180362,0.000180362
93,142.849,0.29609,0.99903,0.90949,1,0.99051,0.995,0.91514,0.38869,1.53349,0.82386,0.000164128,0.000164128,0.000164128
94,144.24,0.31037,1.07257,0.88248,1,0.99051,0.995,0.91514,0.38869,1.53349,0.82386,0.000147498,0.000147498,0.000147498
95,145.629,0.28204,0.99329,0.86689,1,0.99051,0.995,0.91514,0.38869,1.53349,0.82386,0.000130472,0.000130472,0.000130472
96,147.602,0.31101,1.0211,0.71724,1,0.99197,0.995,0.94508,0.3803,1.47599,0.82509,0.00011305,0.00011305,0.00011305
97,149.064,0.31185,1.01731,0.78619,1,0.99197,0.995,0.94508,0.3803,1.47599,0.82509,9.5232e-05,9.5232e-05,9.5232e-05
98,150.562,0.31729,1.05588,0.90392,1,0.99197,0.995,0.94508,0.3803,1.47599,0.82509,7.7018e-05,7.7018e-05,7.7018e-05
99,152.063,0.27611,1.05926,0.82968,1,0.99197,0.995,0.94508,0.3803,1.47599,0.82509,5.8408e-05,5.8408e-05,5.8408e-05
100,154.052,0.29339,1.04123,0.83116,1,0.99331,0.995,0.934,0.37156,1.4114,0.82214,3.9402e-05,3.9402e-05,3.9402e-05
